@relation 'titanic-weka.filters.supervised.attribute.ClassOrder-R1-C1-weka.filters.supervised.attribute.ClassOrder-R1-C1-weka.filters.supervised.attribute.ClassOrder-R1-C1-weka.filters.unsupervised.attribute.Remove-R2,6-11-weka.filters.supervised.attribute.ClassOrder-R1-C1-weka.filters.unsupervised.attribute.Remove-R1-2,4'

@attribute Sex {male,female}
@attribute Survived {0,1}

@data
male,0
female,1
female,1
female,1
male,0
male,0
male,0
male,0
female,1
female,1
female,1
female,1
male,0
male,0
female,0
female,1
male,0
male,1
female,0
female,1
male,0
male,1
female,1
male,1
female,0
female,1
male,0
male,0
female,1
male,0
male,0
female,1
female,1
male,0
male,0
male,0
male,1
male,0
female,0
female,1
female,0
female,0
male,0
female,1
female,1
male,0
male,0
female,1
male,0
female,0
male,0
male,0
female,1
female,1
male,0
male,1
female,1
male,0
female,1
male,0
male,0
female,1
male,0
male,0
male,0
male,1
female,1
male,0
female,1
male,0
male,0
female,0
male,0
male,0
male,1
male,0
male,0
male,0
male,1
female,1
male,0
male,1
female,1
male,0
female,1
female,1
male,0
male,0
female,1
male,0
male,0
male,0
male,0
male,0
male,0
male,0
male,0
male,1
female,1
male,0
female,0
male,0
male,0
male,0
male,0
male,0
female,1
male,1
male,0
female,1
male,0
female,0
male,0
female,0
female,0
male,0
male,0
male,0
male,0
female,0
male,0
male,0
male,0
female,1
male,0
male,1
male,0
male,1
female,1
male,0
male,0
male,0
female,0
female,1
male,0
male,0
female,1
male,0
male,0
male,0
female,0
female,1
female,1
male,0
male,0
male,0
male,1
female,0
male,0
male,0
male,0
female,1
male,0
male,0
male,0
male,0
female,1
male,0
male,0
male,0
male,0
female,1
male,0
male,0
male,0
male,1
female,1
female,0
male,0
male,0
male,0
male,0
female,1
male,0
male,0
male,0
male,0
female,0
male,0
male,0
female,0
male,0
male,0
male,1
female,1
male,0
female,1
male,1
male,0
male,0
female,1
male,0
female,1
male,1
female,1
female,1
male,0
male,0
female,1
female,0
male,0
male,0
male,0
male,0
male,1
female,0
male,0
male,1
female,1
male,1
male,0
female,1
male,0
male,0
male,0
female,1
female,1
male,0
female,1
male,0
male,1
male,0
male,0
male,0
male,1
male,0
male,1
male,0
male,0
female,0
female,1
male,0
male,0
female,1
male,0
female,0
male,0
female,1
male,0
male,0
female,0
female,1
male,0
male,0
male,0
male,0
female,0
female,1
male,1
male,0
male,0
female,0
male,0
male,0
female,0
female,1
female,1
female,1
female,1
female,1
male,0
male,1
male,0
male,0
female,0
male,0
male,0
male,1
female,1
female,1
male,0
male,1
female,1
male,0
female,1
female,1
female,0
male,0
male,0
female,1
male,0
male,0
male,0
male,1
male,0
male,0
male,1
male,0
male,1
female,1
female,1
female,1
male,0
female,0
male,0
male,0
male,0
female,0
male,1
female,1
female,1
male,1
male,0
female,1
male,0
male,1
female,1
female,1
male,0
female,1
female,1
female,1
female,0
male,0
male,0
female,1
female,1
male,0
female,1
female,1
male,0
male,0
female,1
female,1
male,0
female,1
male,0
female,1
female,1
female,1
female,1
male,0
male,0
male,0
female,1
male,0
male,0
female,1
male,1
male,0
male,1
female,1
male,0
male,0
male,0
female,1
female,1
female,1
male,1
male,0
male,0
male,0
male,0
male,0
male,0
male,0
female,1
female,0
female,1
female,1
male,0
male,0
female,0
male,0
male,0
male,0
female,1
female,1
female,1
female,1
male,1
male,0
male,0
male,0
female,0
female,1
female,1
male,0
male,0
male,0
female,1
female,1
male,0
female,1
male,0
male,0
male,0
female,1
male,0
female,1
male,1
male,1
male,0
female,1
female,1
male,0
female,0
male,0
male,0
female,1
male,1
male,0
female,0
male,0
female,0
male,0
male,0
male,1
male,0
female,0
male,0
male,0
female,1
male,0
male,1
female,0
female,1
female,1
male,0
female,0
male,0
male,0
male,0
female,0
male,0
male,0
female,1
female,1
male,0
male,1
male,1
female,1
female,1
male,0
male,0
female,1
female,0
female,1
male,0
male,0
female,1
male,0
male,0
female,1
male,1
male,1
female,1
male,1
female,1
male,1
male,0
male,0
male,0
male,1
male,0
male,1
male,0
female,1
female,1
male,0
male,1
male,0
male,0
male,0
male,0
male,0
male,0
male,0
male,0
female,1
male,0
male,0
female,1
female,1
female,0
male,0
male,0
male,0
male,0
female,1
male,0
male,0
male,0
female,1
male,1
female,0
female,1
male,0
male,0
male,1
male,0
male,0
male,0
male,0
male,0
male,0
female,1
male,0
female,0
male,0
male,0
female,0
female,0
female,0
female,1
male,0
female,1
male,1
male,0
male,1
male,1
male,0
male,1
female,1
male,0
male,0
female,1
male,0
female,1
male,0
female,1
male,0
male,0
female,1
male,0
male,0
female,1
male,0
male,0
male,0
female,1
male,0
male,0
female,1
female,0
female,1
male,0
female,1
male,0
female,1
female,1
female,0
female,0
male,1
male,0
male,0
female,1
male,1
male,0
male,1
male,1
male,0
male,0
male,1
female,1
male,0
female,1
male,0
female,1
female,1
male,0
male,0
male,0
male,0
female,0
male,0
male,0
female,0
male,0
male,1
male,1
female,1
male,1
female,1
male,0
male,0
female,1
female,1
female,0
male,1
female,1
female,1
male,0
male,0
male,0
female,1
male,0
male,1
male,0
male,0
male,0
female,1
male,0
female,0
male,0
male,0
female,1
male,0
male,0
male,1
female,1
male,0
male,0
male,0
male,1
male,0
male,0
male,1
female,1
female,1
female,0
male,0
female,1
male,0
male,0
female,1
male,0
female,0
female,1
male,0
male,0
male,1
male,1
male,0
male,0
male,0
male,0
female,1
male,0
male,0
male,1
male,0
male,1
male,0
female,0
female,1
male,0
male,0
female,0
male,0
male,0
female,1
female,0
male,1
female,1
male,1
male,0
male,1
male,0
female,1
male,0
female,1
male,0
female,1
female,0
male,0
male,0
female,0
male,0
male,0
male,1
male,0
male,0
male,0
male,1
male,0
male,0
male,0
male,0
female,1
female,1
male,0
male,0
male,1
male,0
male,0
male,0
female,1
female,0
male,1
female,0
male,1
male,0
male,0
male,0
male,0
male,0
male,0
male,0
female,1
male,1
female,1
male,1
male,0
male,0
male,0
male,0
female,1
male,0
male,0
female,1
male,1
female,0
male,0
male,0
male,0
female,1
male,1
female,1
male,1
female,1
male,0
male,1
male,0
male,0
male,0
female,1
female,1
male,0
male,0
female,1
male,0
male,0
male,0
male,1
male,0
female,1
female,1
male,0
female,0
female,1
male,0
male,0
male,0
male,0
male,0
female,0
male,1
male,0
male,0
male,1
male,0
female,1
male,0
male,1
male,0
male,0
female,1
male,0
male,0
female,1
male,1
male,0
male,0
female,1
male,1
male,0
male,0
male,0
female,1
male,0
male,0
male,1
female,1
male,0
female,1
male,0
female,0
male,0
male,0
male,0
male,0
female,0
male,0
female,1
male,0
male,0
female,1
male,0
female,1
female,1
female,1
male,0
male,0
male,0
male,0
female,1
male,0
male,1
male,0
male,0
male,0
female,0
male,0
male,0
male,0
female,1
female,1
male,0
female,0
male,0
female,1
male,1
male,1
male,1
male,0
male,0
female,0
male,0
female,1
male,0
male,0
male,0
female,0
male,0
male,0
female,0
male,0
male,0
male,0
female,1
male,1
male,0
female,1
male,0
male,0
male,0
male,1
male,1
female,1
female,1
male,1
male,0
male,0
male,0
female,1
male,0
male,0
male,1
male,1
male,0
male,0
female,1
male,0
male,0
male,0
male,0
male,0
male,0
female,1
male,0
male,0
female,0
female,1
female,0
female,1
female,1
male,1
female,1
male,0
male,0
male,0
female,1
female,0
male,0
female,1
female,1
male,0
male,0
male,1
male,0
female,1
male,0
male,0
female,1
female,1
male,0
male,0
male,0
female,1
female,1
male,0
female,0
male,0
male,0
female,0
male,0
female,1
female,0
male,1
male,0
